idclientecrm,monto_total1,monto_total2,monto_total3,monto_total4,monto_total5,contratado Super Destacado1,contratado Super Destacado2,contratado Super Destacado3,contratado Super Destacado4,contratado Super Destacado5,contratado Destacado1,contratado Destacado2,contratado Destacado3,contratado Destacado4,contratado Destacado5,contratado Simple1,contratado Simple2,contratado Simple3,contratado Simple4,contratado Simple5,contratado Desarrollo Super Destacado1,contratado Desarrollo Super Destacado2,contratado Desarrollo Super Destacado3,contratado Desarrollo Super Destacado4,contratado Desarrollo Super Destacado5,contratado Desarrollo Destacado1,contratado Desarrollo Destacado2,contratado Desarrollo Destacado3,contratado Desarrollo Destacado4,contratado Desarrollo Destacado5,contratado Desarrollo Simple1,contratado Desarrollo Simple2,contratado Desarrollo Simple3,contratado Desarrollo Simple4,contratado Desarrollo Simple5,contratado freemium1,contratado freemium2,contratado freemium3,contratado freemium4,contratado freemium5,Lead Venta1,Lead Venta2,Lead Venta3,Lead Venta4,Lead Venta5,Lead Alquiler1,Lead Alquiler2,Lead Alquiler3,Lead Alquiler4,Lead Alquiler5,Lead Alquiler temporal1,Lead Alquiler temporal2,Lead Alquiler temporal3,Lead Alquiler temporal4,Lead Alquiler temporal5
10747968,649.0,649.0,649.0,649.0,649.0,15.0,15.0,15.0,15.0,15.0,60.0,60.0,60.0,60.0,60.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,36.0,45.0,46.0,36.0,18.0,20.0,45.0,39.0,0.0,0.0,0.0,0.0,0.0
10747977,299.0,100.0,100.0,100.0,100.0,16.0,16.0,15.0,15.0,15.0,80.0,80.0,80.0,80.0,80.0,20050.0,20050.0,20050.0,20050.0,20050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,5.0,13.0,30.0,1.0,5.0,17.0,4.0,9.0,1.0,3.0,12.0,0.0,3.0
10748033,299.0,176.0,176.0,122.0,230.0,7.0,7.0,7.0,8.0,4.0,36.0,36.0,36.0,42.0,26.0,135.0,135.0,135.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,1.0,5.0,12.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
10748035,149.0,149.0,149.0,149.0,149.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10748056,296.0,296.0,296.0,296.0,296.0,50.0,50.0,50.0,40.0,40.0,120.0,120.0,120.0,100.0,100.0,260.0,260.0,260.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,28.0,71.0,7.0,18.0,25.0,39.0,87.0,0.0,0.0,0.0,0.0,0.0
10748070,139.0,99.0,99.0,99.0,99.0,0.0,1.0,1.0,1.0,0.0,5.0,10.0,10.0,10.0,5.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
10748098,0.0,300.0,300.0,0.0,268.0,11.0,11.0,9.0,11.0,6.0,61.0,61.0,70.0,70.0,35.0,120.0,120.0,120.0,120.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,15.0,89.0,81.0,17.0,62.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
10748114,478.0,0.0,478.0,179.0,179.0,51.0,51.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,38.0,8.0,3.0,2.0,4.0,9.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
10748124,199.0,199.0,199.0,400.0,140.0,7.0,7.0,6.0,6.0,6.0,34.0,34.0,24.0,26.0,26.0,30.0,30.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,51.0,38.0,36.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10748125,295.0,202.0,202.0,202.0,202.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,104.0,104.0,104.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,27.0,54.0,41.0,57.0,0.0,0.0,0.0,0.0,0.0
10748126,599.0,425.0,425.0,425.0,425.0,14.0,14.0,14.0,14.0,14.0,30.0,30.0,30.0,30.0,30.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,78.0,72.0,69.0,48.0,97.0,173.0,158.0,144.0,207.0,0.0,0.0,0.0,0.0,0.0
10748145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,20000.0,20000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,66.0,79.0,60.0,50.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10748162,524.0,524.0,524.0,524.0,524.0,70.0,70.0,70.0,70.0,70.0,30.0,30.0,30.0,30.0,30.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,37.0,26.0,30.0,41.0,186.0,176.0,141.0,153.0,254.0,0.0,0.0,0.0,0.0,0.0
10748369,999.0,799.0,799.0,799.0,799.0,42.0,42.0,42.0,42.0,42.0,80.0,80.0,80.0,80.0,80.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,387.0,537.0,243.0,285.0,597.0,754.0,1084.0,512.0,1056.0,0.0,0.0,0.0,0.0,0.0
10748559,299.0,149.0,149.0,149.0,149.0,1.0,1.0,1.0,1.0,1.0,30.0,30.0,30.0,30.0,30.0,10020.0,10020.0,10020.0,10020.0,10020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,7.0,6.0,137.0,68.0,35.0,73.0,104.0,0.0,0.0,0.0,0.0,0.0
10748609,499.0,499.0,499.0,499.0,499.0,10.0,10.0,10.0,10.0,10.0,50.0,50.0,50.0,50.0,50.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,65.0,29.0,38.0,63.0,26.0,39.0,29.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0
